0.0	-105.05
0.45381853	-103.801
0.90372455	-102.481
1.3497201	-101.086
1.7918131	-99.613998
2.2784538	-97.887001
2.7602911	-96.059998
3.2373292	-94.135002
3.7095792	-92.110001
4.1770482	-89.987
4.6397424	-87.768997
5.0976739	-85.461998
5.5508494	-83.07
5.9992795	-80.602997
6.4429727	-78.07
6.8819394	-75.483002
7.359355	-72.589996
7.83108	-69.664001
8.2971258	-66.725998
8.7575102	-63.793999
9.212244	-60.888
9.6613503	-58.023998
10.104839	-55.217999
10.582267	-52.240002
11.053055	-49.362999
11.517232	-46.598
11.974825	-43.952
12.425857	-41.43
12.870356	-39.035999
13.344563	-36.585999
13.811177	-34.282001
14.270243	-32.120998
14.721798	-30.096001
15.165895	-28.202999
15.635861	-26.302
16.097292	-24.535999
16.550253	-22.895
16.994812	-21.371
17.461889	-19.858
17.919506	-18.459999
18.367764	-17.167
18.806772	-15.972
19.264984	-14.794
19.712954	-13.71
20.177885	-12.651
20.631641	-11.68
21.07445	-10.79
21.531641	-9.92700005
21.977135	-9.14000034
22.435055	-8.38399982
22.880737	-7.69899988
23.33716	-7.04899979
23.781109	-6.46500015
24.234529	-5.91900015
24.675695	-5.43499994
25.125652	-4.99100018
25.583866	-4.59100008
26.03091	-4.25299978
26.48704	-3.96199989
26.934307	-3.73099995
27.374565	-3.55699992
27.827785	-3.43499994
28.277756	-3.37100005
28.726791	-3.36299992
29.177214	-3.41100001
29.631319	-3.51300001
30.0	-3.63400006
31.041504	-3.63400006
32.083008	-3.63400006
33.124512	-3.63400006
34.166019	-3.63400006
35.207523	-3.63400006
36.249027	-3.63400006
37.290531	-3.63400006
38.332035	-3.63400006
39.373543	-3.63400006
40.0	-3.63400006
41.566071	-4.51499987
43.132145	-5.39499998
44.698215	-6.27299976
46.26429	-7.14900017
47.83036	-8.02200031
49.396431	-8.89299965
50.0	-9.22700024
60.0	-9.22700024
63.0	-8.97099972
63.611885	-8.97099972
64.22377	-8.97099972
64.835655	-8.97099972
65.447533	-8.97099972
66.059418	-8.97099972
66.671303	-8.97099972
67.283188	-8.97099972
67.895073	-8.97099972
68.506958	-8.97099972
69.118835	-8.97099972
69.730721	-8.97099972
70.342606	-8.97099972
70.954491	-8.97099972
71.566376	-8.97099972
72.178261	-8.97099972
72.790146	-8.97099972
73.402023	-8.97099972
74.013908	-8.97099972
74.625793	-8.97099972
75.237679	-8.97099972
75.849564	-8.97099972
76.0	-8.97099972
91.0	-8.97099972
92.313171	-9.44200039
93.62635	-9.95600033
94.939522	-10.515
96.252693	-11.121
97.565865	-11.776
98.879044	-12.482
100.19221	-13.241
101.50539	-14.055
102.81857	-14.926
104.13174	-15.856
105.44491	-16.846001
106.75809	-17.896999
108.07126	-19.01
109.38443	-20.184
110.6976	-21.421
112.01077	-22.716
113.32395	-24.069
114.63712	-25.476999
115.95029	-26.933001
117.26347	-28.433001
118.57664	-29.971001
119.88982	-31.537001
121.203	-33.123001
122.51617	-34.720001
123.82934	-36.317001
125.14252	-37.903
126.45569	-39.466999
127.76886	-40.999001
129.08203	-42.488998
130.3952	-43.928001
131.70837	-45.306
133.02155	-46.618999
134.33472	-47.859001
135.0	-48.459
135.2849	-47.543999
135.56981	-46.610001
135.85471	-45.655998
136.13962	-44.681
136.42451	-43.687
136.70941	-42.672001
136.99432	-41.638
137.27922	-40.584
137.56412	-39.509998
137.84903	-38.417999
138.13393	-37.306
138.41884	-36.175999
138.70374	-35.028
138.98863	-33.862999
139.27354	-32.681
139.55844	-31.483
139.84335	-30.27
140.12825	-29.042999
140.41315	-27.802999
140.69806	-26.551001
140.98296	-25.287001
141.26787	-24.013
141.55276	-22.731001
141.83766	-21.441
142.12257	-20.145
142.40747	-18.844
142.69238	-17.540001
142.97728	-16.233
143.26218	-14.926
143.54709	-13.619
143.83199	-12.314
144.11688	-11.013
144.40179	-9.7159996
144.68669	-8.42599964
144.9716	-7.1420002
145.2565	-5.8670001
145.5414	-4.60200024
145.82631	-3.34699988
146.11121	-2.10500002
146.39612	-0.87400001
146.68102	0.34200001
146.96591	1.544
147.25082	2.7309999
147.53572	3.902
147.82062	5.0560002
148.10553	6.1929998
148.39043	7.3130002
148.67534	8.4139996
148.96024	9.4980001
149.24513	10.562
149.53004	11.608
149.81494	12.635
150.09985	13.643
150.38475	14.632
150.66965	15.601
150.95456	16.552
151.23946	17.483
151.52435	18.396
151.80927	19.289
152.09416	20.164
152.37907	21.021
152.66397	21.858999
152.94887	22.68
153.0	22.825001
154.06958	22.455
155.13914	22.097
156.20872	21.749001
157.27829	21.410999
158.34787	21.083
159.41743	20.764
160.48701	20.454
161.55658	20.153
162.62616	19.860001
163.69572	19.575001
164.7653	19.297001
165.83487	19.027
166.90445	18.764999
167.97401	18.509001
169.04359	18.259001
170.11316	18.016001
171.18274	17.778999
172.2523	17.548
173.32188	17.323
174.39145	17.103001
175.46103	16.889
176.53059	16.679001
177.60017	16.475
178.66974	16.275
179.73932	16.08
180.0	16.033001
187.0	16.033001
190.01477	16.212
193.02954	16.395
196.04431	16.582001
199.05908	16.773001
202.0	16.965
203.2059	16.768999
204.41182	16.577
205.61772	16.389999
206.82362	16.207001
208.0	16.033001
211.0	16.033001
211.5546	16.226999
212.10919	16.426001
212.66377	16.629
213.21837	16.837
213.77296	17.049999
214.32756	17.268999
214.88216	17.493
215.43675	17.723
215.99133	17.958
216.54593	18.198999
217.10052	18.447001
217.65512	18.702
218.20972	18.962999
218.7643	19.231001
219.31889	19.506001
219.87349	19.789
220.42809	20.08
220.98268	20.379999
